"Sample 1"
0	0.00
10	0.00
20	0.00
30	0.00
40	0.01
50	0.02
60	0.03
70	0.40
80	0.50
90	0.60
100	0.60
110	0.60
120	0.60
130	0.60
140	0.60
150	0.60
160	0.60
170	0.70
180	0.80
190	0.85
200	0.85
210	0.90
220	0.90
230	0.95
240	0.95
250	0.95
260	1.00
270	1.00
280	1.00
290	1.00
300	1.00


"Sample 2"
0	0.00
10	0.00
20	0.01
30	0.02
40	0.03
50	0.04
60	0.05
70	0.10
80	0.30
90	0.50
100	0.50
110	0.50
120	0.50
130	0.50
140	0.70
150	0.70
160	0.70
170	0.80
180	0.80
190	0.85
200	0.85
210	0.85
220	0.85
230	0.85
240	0.85
250	0.90
260	0.90
270	0.90
280	0.95
290	1.00
300	1.00




